Building type	Coordinates (latitude)	Coordinates (longitude)	Number of employees	Number of students/residence	School type
M	40.894162	-73.789744	5		
M	40.894722	-73.779156	8		
M	40.905115	-73.79072	15		
Q	40.928862	-73.783676	3		
Q	40.897888	-73.766866	3		
Q	40.958198	-73.781621	1		
Q	40.913918	-73.773647	1		
Q	40.890846	-73.782248	1		
Q	40.896689	-73.793072	1		
Q	40.911366	-73.799703	1		
Q	40.899831	-73.781306	1		
Q	40.943504	-73.797065	1		
Q	40.935329	-73.806833	1		
Q	40.928882	-73.773259	1		
Q	40.924929	-73.788023	1		
Q	40.9187	-73.773814	1		
Q	40.887169	-73.782266	1		
Q	40.89664	-73.771495	1		
Q	40.902835	-73.773447	1		
Q	40.907179	-73.773281	1		
Q	40.90783	-73.769263	1		
Q	40.902602	-73.795788	1		
Q	40.916414	-73.789466	1		
Q	40.964066	-73.78042	2		
Q	40.927946	-73.790052	3		
Q	40.977542	-73.778801	3		
Q	40.949959	-73.773118	3		
Q	40.935052	-73.790933	3		
Q	40.948713	-73.778808	3		
Q	40.926884	-73.785532	3		
Q	40.929697	-73.772256	3		
Q	40.938286	-73.79066	3		
Q	40.924098	-73.776094	3		
AA	40.909571	-73.792891	105	204	
AA	40.894725	-73.781787	130	100	
AA	40.929115	-73.788614	60	40	
AA	40.914591	-73.786576	80	200	
CC	40.914576	-73.78614	70		
AA	40.916863	-73.788682	120	200	
X	40.903656	-73.782366	120		
CC	40.946953	-73.795552	40		
CC	40.899493	-73.78714	40		
CC	40.91311	-73.79091	35		
CC	40.909354	-73.78192	31		
CC	40.909443	-73.781155	75		
CC	40.921084	-73.78881	130		
CC	40.925872	-73.80464	75		
CC	40.912636	-73.789955	75		
CC	40.948263	-73.792664	75		
CC	40.910137	-73.779997	75		
CC	40.948341	-73.792378	75		
CC	40.948226	-73.792792	75		
CC	40.916659	-73.784378	75		
CC	40.924379	-73.791593	130		
CC	40.912082	-73.78941	75		
CC	40.898301	-73.781255	75		
F	40.948413	-73.780721	174	1232	middle
F	40.910044	-73.798555	115	802	primary
F	40.918268	-73.798032	90	497	primary
F	40.973972	-73.785149	115	734	primary
F	40.932665	-73.773371	90	479	daycare
F	40.924352	-73.788585	86	120	college
F	40.965715	-73.787844	70	180	daycare,middle
F	40.963727	-73.793215	140	960	daycare,high
F	40.902364	-73.778153	140	1128	middle
F	40.897289	-73.790294	90	555	primary
F	40.911938	-73.776361	350	120	college
F	40.929742	-73.794612	340	3331	high
F	40.924213	-73.791494	70	167	primary,middle
F	40.894181	-73.789759	55	74	daycare
F	40.91684	-73.768381	90	528	high
F	40.906909	-73.784088	80	275	primary,high
F	40.918466	-73.79772	55	102	daycare,middle
F	40.954113	-73.783292	70	174	daycare,middle
F	40.949076	-73.797313	115	780	middle,high
F	40.903001	-73.774209	140	817	primary
F	40.955691	-73.783837	140	1035	primary
F	40.927529	-73.793296	125	50	daycare
F	40.944417	-73.795559	72	50	daycare
F	40.909514	-73.780025	72	50	daycare
F	40.916343	-73.793273	72	50	daycare
F	40.910844	-73.788063	72	50	daycare
F	40.920685	-73.793291	72	50	daycare
CC	40.936526	-73.782294	125		
F	40.932761	-73.773337	125	50	daycare
F	40.965502	-73.78039	72	20	daycare
F	40.954496	-73.796209	72	100	daycare
F	40.916165	-73.792763	72	100	daycare
F	40.943004	-73.795168	72	100	daycare
F	40.917268	-73.79004	125	100	daycare
F	40.930416	-73.784714	125	100	daycare
F	40.931144	-73.794002	72	50	daycare
F	40.940767	-73.794643	125	50	daycare
CC	40.912032	-73.786946	50		
H	40.912912	-73.787528	2206	150	
CC	40.948736	-73.792385	20		
CC	40.913517	-73.781407	20		
M	40.90815	-73.772223	45		
M	40.911718	-73.780401	45		
M	40.911075	-73.780885	45		
M	40.907307	-73.784232	45		
M	40.929298	-73.767305	45		
M	40.980705	-73.776456	45		
M	40.921198	-73.787202	60		
M	40.909106	-73.771118	45		
C	40.983686	-73.787208	5		
EE	40.948051	-73.793494	30		
EE	40.911237	-73.778515	30		
K	40.981774	-73.776626	13		
K	40.947019	-73.795547	13		
K	40.984533	-73.777602	13		
K	40.980293	-73.776627	13		
K	40.914796	-73.772764	13		
K	40.906818	-73.78319	13		
K	40.947598	-73.794343	13		
K	40.908964	-73.795428	13		
K	40.909522	-73.794949	13		
K	40.909417	-73.794058	13		
K	40.908723	-73.78805	13		
K	40.910596	-73.781706	13		
K	40.910597	-73.782457	13		
K	40.90867	-73.783054	13		
K	40.908924	-73.782603	13		
K	40.902787	-73.789828	13		
K	40.906615	-73.784694	13		
K	40.906507	-73.784774	13		
K	40.909182	-73.783997	13		
K	40.908546	-73.783279	13		
K	40.906526	-73.773902	13		
K	40.946451	-73.795318	13		
K	40.945738	-73.795087	13		
K	40.904233	-73.788491	13		
K	40.910631	-73.780994	13		
K	40.9073	-73.782611	13		
K	40.927265	-73.789467	13		
K	40.918687	-73.777273	13		
K	40.915366	-73.771719	13		
K	40.914754	-73.78492	13		
K	40.911312	-73.780138	13		
K	40.985085	-73.777172	13		
K	40.980541	-73.77657	13		
K	40.948822	-73.792245	13		
K	40.927325	-73.789516	13		
K	40.923627	-73.787942	13		
K	40.918066	-73.786431	13		
K	40.914352	-73.773566	13		
K	40.91494	-73.784621	13		
K	40.910608	-73.78173	13		
K	40.904429	-73.788315	13		
K	40.909424	-73.795075	13		
K	40.911641	-73.777462	13		
K	40.907448	-73.779274	13		
K	40.907115	-73.784627	13		
K	40.903603	-73.78913	13		
K	40.947308	-73.79411	13		
K	40.917668	-73.787975	13		
K	40.922428	-73.787848	13		
K	40.921868	-73.787838	13		
K	40.915537	-73.785139	13		
K	40.915116	-73.785062	13		
K	40.914697	-73.78491	13		
K	40.898434	-73.790625	13		
K	40.89594	-73.778747	13		
K	40.902263	-73.790637	13		
K	40.902092	-73.789081	13		
K	40.902088	-73.789103	13		
K	40.907091	-73.780646	13		
K	40.909403	-73.78061	13		
K	40.907929	-73.779456	13		
K	40.903353	-73.789417	13		
K	40.898868	-73.798946	13		
K	40.911254	-73.796658	13		
K	40.910046	-73.795922	13		
K	40.909521	-73.79455	13		
K	40.914193	-73.794383	13		
K	40.914307	-73.793871	13		
K	40.909685	-73.790401	13		
K	40.924574	-73.787794	13		
K	40.925588	-73.788855	13		
K	40.911175	-73.780797	13		
K	40.8972	-73.777665	13		
K	40.900894	-73.792978	13		
K	40.910343	-73.779037	13		
K	40.925329	-73.788671	13		
K	40.912827	-73.775735	13		
K	40.912972	-73.776599	13		
K	40.910874	-73.780086	13		
K	40.913607	-73.773704	13		
K	40.914423	-73.773272	13		
K	40.909948	-73.788889	13		
K	40.914605	-73.784472	13		
K	40.907541	-73.784306	13		
K	40.915342	-73.771781	13		
K	40.948796	-73.792295	13		
K	40.946712	-73.794496	13		
K	40.914927	-73.772354	13		
K	40.914257	-73.79382	13		
K	40.910169	-73.793342	13		
K	40.908835	-73.783607	13		
K	40.895967	-73.778685	13		
K	40.898774	-73.777926	13		
K	40.906898	-73.783336	13		
K	40.908928	-73.784332	13		
K	40.908682	-73.783486	13		
K	40.948643	-73.792554	13		
K	40.926861	-73.789492	13		
K	40.915494	-73.771465	13		
K	40.915777	-73.770801	13		
K	40.919327	-73.766552	13		
K	40.915363	-73.771649	13		
K	40.916259	-73.785371	13		
K	40.910321	-73.780992	13		
K	40.984595	-73.777632	13		
K	40.946057	-73.795203	13		
K	40.907286	-73.784417	13		
K	40.918929	-73.786846	13		
K	40.908935	-73.781289	13		
K	40.94679	-73.795593	13		
K	40.899047	-73.798466	13		
K	40.926093	-73.7891	13		
K	40.914304	-73.784111	13		
K	40.946916	-73.795466	13		
K	40.915259	-73.78511	13		
K	40.909335	-73.781206	13		
K	40.909089	-73.781575	13		
K	40.901544	-73.78874	13		
K	40.90619	-73.784906	13		
K	40.908273	-73.781826	13		
K	40.908535	-73.784483	13		
K	40.907678	-73.78383	13		
K	40.907774	-73.784097	13		
K	40.905107	-73.787567	13		
K	40.907222	-73.784471	13		
K	40.903145	-73.789765	13		
K	40.909038	-73.795888	13		
K	40.908934	-73.795868	13		
K	40.90933	-73.794171	13		
K	40.9229	-73.787535	13		
K	40.908116	-73.779603	13		
K	40.908359	-73.783083	13		
K	40.907168	-73.784538	13		
K	40.90689	-73.785005	13		
K	40.947734	-73.794375	13		
K	40.94701	-73.79554	13		
K	40.945743	-73.795896	13		
K	40.923292	-73.787965	13		
K	40.921426	-73.788118	13		
K	40.920688	-73.787288	13		
K	40.915109	-73.772105	13		
K	40.914391	-73.773675	13		
K	40.914561	-73.784385	13		
K	40.908534	-73.779434	13		
K	40.905284	-73.774659	13		
K	40.91055	-73.781112	13		
K	40.909331	-73.781293	13		
K	40.897131	-73.777773	13		
K	40.901805	-73.790967	13		
K	40.900093	-73.787009	13		
K	40.906019	-73.785574	13		
K	40.906734	-73.785175	13		
K	40.909561	-73.798323	13		
K	40.984547	-73.777838	13		
K	40.927356	-73.789658	13		
K	40.911111	-73.781066	13		
K	40.925709	-73.788873	13		
K	40.922985	-73.788014	13		
K	40.922904	-73.788083	13		
K	40.922541	-73.788309	13		
K	40.920932	-73.787578	13		
K	40.920604	-73.787226	13		
K	40.920356	-73.787224	13		
K	40.914317	-73.77379	13		
K	40.912275	-73.781783	13		
K	40.911153	-73.780271	13		
K	40.911043	-73.781051	13		
K	40.888744	-73.789697	13		
K	40.91073	-73.77818	13		
K	40.910738	-73.782389	13		
K	40.909159	-73.781644	13		
K	40.908599	-73.782307	13		
K	40.908827	-73.782703	13		
K	40.896173	-73.778468	13		
K	40.8987	-73.777921	13		
K	40.905605	-73.786124	13		
K	40.907907	-73.782241	13		
K	40.914404	-73.794386	13		
K	40.910115	-73.790056	13		
K	40.910118	-73.789828	13		
K	40.909644	-73.791167	13		
K	40.909892	-73.789018	13		
K	40.910478	-73.781061	13		
K	40.926901	-73.789375	13		
K	40.984299	-73.777016	13		
K	40.908353	-73.782675	13		
K	40.94887	-73.792183	13		
K	40.914393	-73.773627	13		
K	40.905708	-73.774299	13		
K	40.91583	-73.784834	13		
K	40.911031	-73.781594	13		
K	40.92356	-73.787915	13		
K	40.91504	-73.772314	13		
K	40.907374	-73.784171	13		
K	40.896291	-73.778307	13		
K	40.981429	-73.776478	13		
K	40.947238	-73.794127	13		
K	40.915112	-73.772025	13		
K	40.90733	-73.779184	13		
K	40.908747	-73.782453	13		
K	40.921334	-73.788007	13		
K	40.984343	-73.777544	13		
K	40.923066	-73.788003	13		
K	40.914208	-73.78411	13		
M	40.900549	-73.781022	15		
M	40.981489	-73.77662	15		
M	40.904145	-73.787856	15		
M	40.94688	-73.795497	15		
M	40.946182	-73.795235	15		
M	40.911448	-73.7871	15		
M	40.908299	-73.782167	15		
M	40.914631	-73.782718	15		
M	40.905964	-73.789532	15		
M	40.909463	-73.779987	15		
M	40.919819	-73.787033	15		
M	40.887217	-73.779456	15		
M	40.912738	-73.783124	15		
M	40.907764	-73.779257	15		
M	40.910477	-73.782066	15		
M	40.911939	-73.779494	15		
M	40.914411	-73.777012	15		
M	40.927801	-73.774244	15		
M	40.909854	-73.780348	15		
M	40.908942	-73.791651	15		
M	40.9171	-73.756205	15		
M	40.910853	-73.796551	15		
M	40.902696	-73.789958	15		
M	40.903289	-73.78947	15		
M	40.922843	-73.787735	15		
M	40.92215	-73.787863	15		
M	40.911112	-73.779414	15		
M	40.894659	-73.774209	15		
M	40.88919	-73.784662	15		
M	40.894728	-73.776097	15		
M	40.91569	-73.788865	21		
N	40.926546	-73.784922	15		
N	40.907735	-73.782421	15		
N	40.916288	-73.784648	15		
N	40.985183	-73.776664	15		
N	40.981764	-73.776482	15		
N	40.925815	-73.788899	15		
N	40.921795	-73.788216	15		
N	40.928096	-73.771761	15		
N	40.913332	-73.786126	15		
N	40.910858	-73.779204	15		
N	40.947032	-73.794203	15		
N	40.908434	-73.782782	15		
N	40.946984	-73.794242	15		
N	40.916277	-73.770134	15		
N	40.920547	-73.788365	32		
N	40.906086	-73.78524	15		
N	40.907968	-73.782278	15		
N	40.904971	-73.787698	15		
N	40.94629	-73.79508	15		
N	40.909727	-73.780995	15		
N	40.900354	-73.79382	15		
N	40.917756	-73.776937	15		
S	40.908985	-73.78423	13		
S	40.908608	-73.783338	13		
S	40.917519	-73.786216	13		
S	40.98081	-73.776589	13		
S	40.94675	-73.794459	13		
S	40.923749	-73.787978	13		
S	40.918122	-73.767723	13		
S	40.914411	-73.784093	13		
S	40.902455	-73.79144	13		
S	40.947441	-73.795372	13		
S	40.984501	-73.776905	13		
S	40.926714	-73.789322	13		
S	40.926409	-73.786381	13		
S	40.921938	-73.773674	13		
S	40.945836	-73.795834	13		
T	40.983029	-73.778169	80		
T	40.934848	-73.791491	80		
T	40.899938	-73.790808	80		
Y	40.943599	-73.793034	40		
Z	40.908001	-73.785711	80		
Z	40.934536	-73.791091	80		
Z	40.914562	-73.794574	80		
Z	40.931499	-73.793179	80		
Z	40.972727	-73.777141	80		
L	40.922815	-73.788113	14		
L	40.918178	-73.786366	12		
L	40.915059	-73.772227	12		
L	40.914333	-73.784251	12		
L	40.91289	-73.783185	12		
